,t,S0,E0,I0,R0,D0,beta,gamma,sigma,c,f,data
36,36,59268411.99999999,538170.6897699423,390861.891499009,296563.0802545272,39572.51801215628,0.07641645846169262,0.014026731063979479,0.06410256410257084,9.999999996879134e-05,0.0004891627158418022,2020-11-02 17:00:00
37,37,59038536.49435717,569706.4495394644,567561.786407828,349845.1085762848,42266.626072054736,0.06033245875270011,0.01963499088573701,0.06410256468587135,9.999999997600265e-05,0.0006895832081788851,2020-11-09 17:00:00
38,38,58793449.13245232,537448.2756018733,716485.3408091424,443044.75816628104,45953.91632328913,0.047197992706334346,0.025185921492739113,0.06410256410327704,9.999999999999999e-05,0.0008509295286111004,2020-11-16 17:00:00
39,39,58568204.99999999,407922.4654053896,796715.4841683861,583568.3161335627,50656.68851325123,0.03374879091955299,0.03325566879586761,0.06410259217503367,9.999999999999982e-05,0.0008975270437551737,2020-11-23 17:00:00
40,40,58398445.99999999,168741.7474192694,783725.7481781854,762891.8473834422,56330.16532861865,0.028640133987517864,0.03413551916559146,0.12195121950757269,9.999999999999999e-05,0.0006869360052466963,2020-11-30 17:00:00
41,41,58257442.99999999,255399.74291027748,743631.0836055743,936580.9391591366,60978.139195359116,0.023420118149040457,0.03844193354460102,0.06410256410257119,9.999999999996096e-05,0.0007445129245969743,2020-12-07 17:00:00
42,42,58144262.99999999,125669.6289240839,671919.2916362033,1120374.7881622969,65817.23497459189,0.02611741640524336,0.03866216207223778,0.12195121951218754,9.999999999999999e-05,0.0006581199706702763,2020-12-14 17:00:00
43,43,58035945.99999999,115313.96505617056,612473.264806585,1283322.0724413092,69703.43614114079,0.0253975241810801,0.033543451928373984,0.12195121950417748,9.999999999999999e-05,0.0005808078027742282,2020-12-21 17:00:00
44,44,57943722.99999999,269874.46100853663,569370.3100638067,1411907.2552923542,72773.1224598355,0.030646422807320862,0.027761994570825173,0.06410256410257019,9.999999999878688e-05,0.0007244621852225604,2020-12-28 17:00:00
45,45,57833755.99999999,286194.40846999636,567940.7603360887,1521448.7577228937,75969.16479794717,0.03325081532570294,0.029109297648866623,0.06410256462453884,9.99999999392947e-05,0.0007895274682443237,2021-01-04 17:00:00
46,46,57710978.99999999,126867.609929588,574335.0373625148,1635348.9513886834,79475.1736276313,0.028724543425431577,0.03318758315151952,0.1219512194897571,9.999999999999999e-05,0.0007690631063857876,2021-01-11 17:00:00
47,47,57609897.99423901,1094117.9655289862,547058.8900578523,1760488.8011929134,82554.02127611039,0.4154089879409716,0.5044405874524404,0.07402301742877299,1.9525144052465312e-09,0.17445189172179615,2021-01-18 17:00:00
