,t,S0,I0,R0,D0,beta,gamma,f,data
30,30,59700707.81449637,44782.99460151015,218785.11237498577,35723.96266300541,0.03785090485078241,0.020824311782617032,0.00040061428914093427,2020-09-21 17:00:00
31,31,59689191.96956388,49522.597729101726,225426.2132853756,35858.41029175671,0.045505517474759505,0.021604799350330696,0.00039223494297550084,2020-09-28 17:00:00
32,32,59673668.95545895,57234.561246342535,233056.16420476072,36032.71769492517,0.0718573904254076,0.0173544433543557,0.0002766090559652885,2020-10-05 17:00:00
33,33,59642058.94029989,80834.15555034026,240838.12227121548,36249.59375198953,0.09500829959580354,0.01827420237238601,0.0004193166551290693,2020-10-12 17:00:00
34,34,59578372.732005924,131515.33081879822,253420.88823207776,36668.3631031093,0.10544936018153626,0.013348000674854026,0.0006365485082658844,2020-10-19 17:00:00
35,35,59457433.635300055,236478.2827842632,268613.73142872826,37485.04127569612,0.09775704135290988,0.014093372856107908,0.0008023103275680298,2020-10-26 17:00:00
36,36,59269262.43006244,395696.0746844148,295990.95992552355,39056.32014171709,0.07621332403057546,0.014465924750128485,0.0008824279534143744,2020-11-02 17:00:00
37,37,59038383.2057235,570493.2622822833,349329.5053593024,41800.44145154136,0.05970372205200512,0.019924527774692544,0.0009454659084762923,2020-11-09 17:00:00
38,38,58793371.43709787,718003.6322101213,442844.0650248698,45784.99436861331,0.04674911826679938,0.025278107780354164,0.000926916328478392,2020-11-16 17:00:00
39,39,58569633.118722774,796436.6521784833,583425.0208837192,50505.03597240648,0.03392773234289042,0.033318164814900034,0.0009612127993457788,2020-11-23 17:00:00
40,40,58400194.14288327,782129.6126136077,762142.5896290248,55531.31130829417,0.028991937245840975,0.03447537898758303,0.001031905720532616,2020-11-30 17:00:00
41,41,58261180.99294377,742249.8935274392,936107.0107637757,60455.70673994233,0.024467497521005143,0.03867416768925349,0.000985703613812229,2020-12-07 17:00:00
42,42,58145083.42508303,670135.8776990668,1119696.4362721052,65077.46633024136,0.026238384554758812,0.03902760196321437,0.0010355088156487908,2020-12-14 17:00:00
43,43,58036229.09502082,611477.9033227421,1282968.6879606633,69321.11771941853,0.025393424577010642,0.033747646607865854,0.0007928835616071609,2020-12-21 17:00:00
44,44,57946663.032409124,569181.2249518943,1411647.6805463475,72508.33621112586,0.03169624028799361,0.027918024279649286,0.0008792344011618149,2020-12-28 17:00:00
45,45,57835179.08224444,567792.3818911684,1521256.274143117,75772.36710449388,0.033659608491242304,0.029225159267466855,0.0009047695960217641,2021-01-04 17:00:00
46,46,57711782.829490125,573786.9258184835,1635159.4642046208,79270.12802606108,0.028966561260080785,0.033301961581965134,0.0008895745150635893,2021-01-11 17:00:00
47,47,57611676.48031834,543649.0219295829,1762086.5605448836,82583.45545952492,0.026099332648886586,0.040559845690462656,0.000972811384633848,2021-01-18 17:00:00
