,t,S0,E0,I0,R0,D0,beta,gamma,sigma,f,c,data
21,21,9.979572723749872e-12,1.4500277614708878e-18,1.896060091371419e-18,4.114962290726712e-16,9.029847673763758e-18,1.9414577545639418e-31,9.470387352598075e-30,1.4745401136713314e-34,1.9491088121945286e-31,1.4144222104573528e-29,2020-07-20 17:00:00
22,22,2810.7296812833433,175188.2041968434,1.6727133890248083,0.4958168500863149,0.672423243795922,1.2078922446222609e-05,1.1405885268523557e-05,3.206185330156506e-05,1.0317344195567418e-10,1.4891622649925682e-05,2020-07-27 17:00:00
23,23,3.1978919512457517e-11,2.800502681859345e-20,1.8860545146822243e-18,1.6027980944419937e-16,9.743049415351667e-18,7.45111480604385e-29,1.6657368089005297e-30,6.879614354345438e-30,3.227625368713515e-33,4.333342374871281e-30,2020-08-03 17:00:00
24,24,2.0927481969579405e-11,7.247425654944647e-20,1.5570715501800737e-18,2.4882778671719873e-16,2.752010045629355e-18,1.2425329629209228e-29,1.6197070832295559e-31,2.2526447001532023e-29,4.243534606468458e-32,2.3056462922224302e-29,2020-08-10 17:00:00
25,25,2.0251356147582113e-11,1.3215831559535192e-18,1.602798094441852e-18,1.210274556354798e-16,1.3608060753672042e-17,2.5940157827957336e-29,4.9303806576309417e-32,8.827095454810993e-29,1.5545912789624752e-32,2.2049971933289274e-30,2020-08-17 17:00:00
26,26,2.9097613207792126e-11,1.891053994304372e-18,1.1517662849187768e-18,6.048027001632906e-16,7.247425654945105e-18,1.1241760937464936e-27,1.1093356479669357e-29,6.591495234665351e-32,3.607780241769794e-33,5.0487097934140843e-29,2020-08-24 17:00:00
27,27,4.780531526193631e-11,3.9496302606241184e-19,7.867361128105932e-18,4.067867258858956e-16,2.9235871570071013e-18,1.3781232458305796e-31,5.533119693027061e-29,2.7635060919933567e-27,1.029921130416461e-33,9.594644019267004e-28,2020-08-31 17:00:00
28,28,1.2524703496552547e-11,7.371304223480176e-19,8.790944677967466e-18,7.725279292137952e-17,1.159503401496526e-17,1.9721522630523767e-31,1.8747772450644454e-29,1.4040029294584239e-29,3.851037042729238e-32,1.1493107313752328e-30,2020-09-07 17:00:00
29,29,5787.419182962596,220721.88587912574,192.32456328630244,829.6494988703544,0.15329987268066236,3.217091338550075e-07,1.134289447985568e-06,1.9402849245955535e-07,5.116370935278291e-10,1.7777102983320172e-08,2020-09-14 17:00:00
30,30,4.526429231433237e-11,2.224784975522467e-20,1.905824131322174e-21,4.777274292843816e-16,3.3352451693731843e-18,3.7796182565603383e-29,1.8308371533831438e-30,1.789247466606043e-27,8.044443868101006e-32,2.0591195556213517e-28,2020-09-21 17:00:00
31,31,2.56683563293321e-11,3.2311742677852644e-19,2.632631339625791e-18,5.770073139990634e-17,6.747093880912961e-18,8.389350837750435e-29,2.1678315602272715e-29,2.2630755367317645e-28,4.091895835212176e-35,5.004613701407736e-28,2020-09-28 17:00:00
32,32,4.667871644769632e-11,5.13632838281141e-19,4.421564924226269e-18,3.2141173403336087e-16,2.447925217564605e-19,6.77084746073637e-36,7.119469669620157e-29,9.464039006017532e-29,1.1006858903358829e-33,1.9110039873183236e-29,2020-10-05 17:00:00
33,33,1.9851009724902307e-11,1.1056374000070076e-17,1.891053994304372e-18,5.448149798057772e-16,1.780886771602046e-19,6.323386527107103e-29,4.449668543512598e-30,3.2748820923151077e-28,5.433722636676334e-34,2.0352919503491086e-28,2020-10-12 17:00:00
34,34,3301361794.320789,147024791.53557435,1802533712.6570394,75551681.53392196,304.5738419750897,2.095260366422096e-05,9.928660525910936e-07,0.002368095289778379,2.1755076828530816e-08,0.0007565580519082431,2020-10-19 17:00:00
35,35,213560515.24961397,20274199.710634526,2005827292.6469064,148151802.94521916,78.0538164112002,0.0036090529694487346,2.5229761692707065e-05,0.09063146814047145,4.894805499869978e-09,0.00010784028454322824,2020-10-26 17:00:00
36,36,3.1978919512457517e-11,6.232177258321865e-19,2.1846978707444482e-15,2.5622746654442585e-16,9.16150835750329e-18,5.6160117178334285e-31,6.1536470988707936e-30,3.554422349650905e-27,1.5981503976264208e-32,1.3422961340401447e-29,2020-11-02 17:00:00
37,37,9820770.047641886,128504.42057641955,31797.859208266083,2082703.0363117377,6401.858823806876,3.879294869045634e-06,1.0372974500548903e-06,0.00011914035739932608,7.4164676259940335e-09,1.0512979844815734e-05,2020-11-09 17:00:00
38,38,4.76557682205279e-12,1.0376153603864151e-20,8.402702362033085e-16,5.100629120458007e-16,3.57871420214909e-18,1.358871469550385e-35,4.1546672335464615e-34,2.246404687133478e-28,1.119747706728985e-32,6.981912049272309e-28,2020-11-16 17:00:00
39,39,2.774719343179533e-11,3.633983101957436e-18,2.040251648183203e-15,2.0088233377082963e-15,3.8790720852457606e-17,5.4357446750378296e-30,1.716046913872712e-29,2.3558668414525254e-28,1.422348164494968e-32,5.6160117178334285e-31,2020-11-23 17:00:00
40,40,2.673616883441802e-11,8.470329472543003e-18,8.182053667405914e-15,7.22214172146926e-17,1.174416475323946e-17,2.9670154499503628e-31,1.0455681075083502e-29,1.0654059563076071e-27,6.502721901291547e-32,2.0481813568726648e-32,2020-11-30 17:00:00
41,41,155352219.8654252,1851011.8280701314,63614144.97913587,111926209.49671482,114910.90304839157,2.869324366487639e-05,6.714343685313753e-05,0.004670716330266603,3.202546561994793e-08,6.549230084280432e-05,2020-12-07 17:00:00
42,42,226050710.8152945,438066477.0985879,105371498.8521503,1374934801.0796807,2127174.7866616617,0.0014957259552397524,0.00032827373612530743,0.011196341631024542,2.559478196557471e-07,0.0009786068795075396,2020-12-14 17:00:00
43,43,3.0397906414238873e-11,3.717648781323075e-17,5.293955920339377e-15,5.109248527729347e-15,4.697665901295784e-17,1.9353477418154842e-29,4.4188729237010257e-29,8.886055874127263e-28,3.129824238725324e-33,4.695206555828297e-31,2020-12-21 17:00:00
44,44,1.1042056158317814e-11,7.091571592650713e-18,5.259600263998884e-16,7.26176931087433e-15,8.812530783233163e-18,1.4670963944364516e-29,2.7733391199173394e-30,7.45111480604385e-29,9.479233464804112e-33,1.8747772450644454e-29,2020-12-28 17:00:00
45,45,1.035971308738272e-11,7.123547086408184e-19,6.229879893210953e-15,9.246564017934089e-15,1.9058241313221758e-17,6.1021164357967514e-30,1.5974433330724396e-29,4.738095811983344e-29,2.110717656336617e-34,2.3462912381394837e-30,2021-01-04 17:00:00
46,46,9.792167077193596e-12,5.042895354773624e-17,4.8924623033412e-18,2.3453461395208424e-15,5.626204593899776e-18,3.865418435582575e-29,9.653993476433714e-29,2.0670929055910203e-28,1.5063066730082016e-32,2.808555049877267e-31,2021-01-11 17:00:00
47,47,417559309.2244879,58242559.27380503,41753824.98708621,35378675.968161404,12454.843349353794,0.00038005937199788814,0.0006520505366858319,5.189506730599592e-05,4.2814102241875436e-10,3.505487317879598e-05,2021-01-18 17:00:00
